driverId,forename,surname,nationality,dob,max_lap_times,avg_lap_times,min_lap_times
11,Takuma,Sato,Japanese,1977-01-28,"['{""2002"": 225154}', '{""2003"": 120833}', '{""2004"": 157529}', '{""2005"": 1921214}', '{""2006"": 1528859}', '{""2007"": 1298404}', '{""2008"": 151502}']","['{""2002"": 89355.13157894737}', '{""2003"": 97423.30188679245}', '{""2004"": 86000.80355160932}', '{""2005"": 91108.94636015326}', '{""2006"": 95758.59393232205}', '{""2007"": 93417.82231852654}', '{""2008"": 97399.13526570049}']","['{""2002"": 73119}', '{""2003"": 95290}', '{""2004"": 70727}', '{""2005"": 74394}', '{""2006"": 73401}', '{""2007"": 74914}', '{""2008"": 84617}']"
12,Nelson,Piquet Jr.,Brazilian,1985-07-25,"['{""2008"": 179602}', '{""2009"": 201731}']","['{""2008"": 92634.34149484536}', '{""2009"": 97023.4271047228}']","['{""2008"": 76910}', '{""2009"": 78514}']"
13,Felipe,Massa,Brazilian,1981-04-25,"['{""2002"": 138405}', '{""2004"": 219517}', '{""2005"": 585712}', '{""2006"": 163131}', '{""2007"": 1406795}', '{""2008"": 232983}', '{""2009"": 195500}', '{""2010"": 2941237}', '{""2011"": 7506656}', '{""2012"": 3135915}', '{""2013"": 170278}', '{""2014"": 1298972}', '{""2015"": 202315}', '{""2016"": 2117412}', '{""2017"": 1476855}']","['{""2002"": 88095.54958677686}', '{""2004"": 88384.12383900929}', '{""2005"": 90626.4857703631}', '{""2006"": 87251.56472795497}', '{""2007"": 91161.69461077845}', '{""2008"": 92407.75212866603}', '{""2009"": 93013.69831223629}', '{""2010"": 101223.1582867784}', '{""2011"": 107009.0219047619}', '{""2012"": 101670.69439728353}', '{""2013"": 98486.12512218964}', '{""2014"": 100042.4780334728}', '{""2015"": 96607.5638888889}', '{""2016"": 104076.8811369509}', '{""2017"": 97366.74877330716}']","['{""2002"": 74052}', '{""2004"": 72066}', '{""2005"": 74343}', '{""2006"": 72877}', '{""2007"": 72584}', '{""2008"": 73736}', '{""2009"": 75154}', '{""2010"": 75330}', '{""2011"": 77271}', '{""2012"": 76182}', '{""2013"": 76470}', '{""2014"": 72586}', '{""2015"": 71613}', '{""2016"": 69899}', '{""2017"": 68419}']"
14,David,Coulthard,British,1971-03-27,"['{""1996"": 199147}', '{""1997"": 225973}', '{""1998"": 925994}', '{""1999"": 328467}', '{""2000"": 212856}', '{""2001"": 198996}', '{""2002"": 166898}', '{""2003"": 165005}', '{""2004"": 208547}', '{""2005"": 205377}', '{""2006"": 154825}', '{""2007"": 1395880}', '{""2008"": 190889}']","['{""1996"": 94559.67750677507}', '{""1997"": 87473.019035533}', '{""1998"": 91909.81362007168}', '{""1999"": 91446.07960893854}', '{""2000"": 89614.15107913669}', '{""2001"": 87682.89524838013}', '{""2002"": 85139.64080765143}', '{""2003"": 86397.45369284877}', '{""2004"": 87190.46998982706}', '{""2005"": 89699.06719817768}', '{""2006"": 88884.80364806867}', '{""2007"": 93098.85251798561}', '{""2008"": 94768.27709359606}']","['{""1996"": 79968}', '{""1997"": 72207}', '{""1998"": 72878}', '{""1999"": 72855}', '{""2000"": 71783}', '{""2001"": 70843}', '{""2002"": 71223}', '{""2003"": 69626}', '{""2004"": 72155}', '{""2005"": 76233}', '{""2006"": 74730}', '{""2007"": 74195}', '{""2008"": 76994}']"
15,Jarno,Trulli,Italian,1974-07-13,"['{""1997"": 437359}', '{""1998"": 206025}', '{""1999"": 155479}', '{""2000"": 210752}', '{""2001"": 213664}', '{""2002"": 167171}', '{""2003"": 219296}', '{""2004"": 208037}', '{""2005"": 211732}', '{""2006"": 155785}', '{""2007"": 1296443}', '{""2008"": 185452}', '{""2009"": 238709}', '{""2010"": 2931179}', '{""2011"": 7474332}']","['{""1997"": 92010.69044222539}', '{""1998"": 96414.91640866874}', '{""1999"": 91840.32901134522}', '{""2000"": 91865.33004231311}', '{""2001"": 89877.57251908397}', '{""2002"": 86373.14028776978}', '{""2003"": 87531.765}', '{""2004"": 87169.65111346765}', '{""2005"": 88454.28929604629}', '{""2006"": 89315.8312849162}', '{""2007"": 94003.61197339246}', '{""2008"": 92549.11584158416}', '{""2009"": 97022.47715736041}', '{""2010"": 109337.39852398523}', '{""2011"": 111765.82841530055}']","['{""1997"": 72598}', '{""1998"": 75709}', '{""1999"": 74112}', '{""2000"": 76375}', '{""2001"": 74082}', '{""2002"": 72626}', '{""2003"": 70358}', '{""2004"": 71187}', '{""2005"": 73570}', '{""2006"": 73269}', '{""2007"": 73361}', '{""2008"": 74167}', '{""2009"": 76011}', '{""2010"": 77316}', '{""2011"": 78596}']"
16,Adrian,Sutil,German,1983-01-11,"['{""2007"": 405395}', '{""2008"": 182498}', '{""2009"": 202517}', '{""2010"": 2935508}', '{""2011"": 7499740}', '{""2013"": 1521999}', '{""2014"": 3684123}']","['{""2007"": 92214.08897742364}', '{""2008"": 94882.68413391558}', '{""2009"": 99147.39344262295}', '{""2010"": 102993.29540918164}', '{""2011"": 108628.78997161779}', '{""2013"": 99882.0460385439}', '{""2014"": 104033.1178529755}']","['{""2007"": 74858}', '{""2008"": 75773}', '{""2009"": 76245}', '{""2010"": 74997}', '{""2011"": 77161}', '{""2013"": 76049}', '{""2014"": 73709}']"
17,Mark,Webber,Australian,1976-08-27,"['{""2002"": 165109}', '{""2003"": 158391}', '{""2004"": 175334}', '{""2005"": 2022173}', '{""2006"": 360120}', '{""2007"": 1397848}', '{""2008"": 192221}', '{""2009"": 184966}', '{""2010"": 2942501}', '{""2011"": 7505034}', '{""2012"": 3136250}', '{""2013"": 1519348}']","['{""2002"": 88109.65813060179}', '{""2003"": 87627.48905109489}', '{""2004"": 87035.12198221093}', '{""2005"": 91833.23759239704}', '{""2006"": 89446.8774289985}', '{""2007"": 95016.51001335113}', '{""2008"": 92672.27254509018}', '{""2009"": 95795.41838842975}', '{""2010"": 99964.00767018217}', '{""2011"": 106815.20756457564}', '{""2012"": 101096.50839964634}', '{""2013"": 98904.8341277407}']","['{""2002"": 71819}', '{""2003"": 68966}', '{""2004"": 72140}', '{""2005"": 73590}', '{""2006"": 75680}', '{""2007"": 74004}', '{""2008"": 75033}', '{""2009"": 73733}', '{""2010"": 74047}', '{""2011"": 75324}', '{""2012"": 77131}', '{""2013"": 75436}']"
18,Jenson,Button,British,1980-01-19,"['{""2000"": 211546}', '{""2001"": 472855}', '{""2002"": 140074}', '{""2003"": 164540}', '{""2004"": 206787}', '{""2005"": 215714}', '{""2006"": 162736}', '{""2007"": 157032}', '{""2008"": 181687}', '{""2009"": 185713}', '{""2010"": 2939572}', '{""2011"": 7503775}', '{""2012"": 3137014}', '{""2013"": 1522801}', '{""2014"": 3700606}', '{""2015"": 203696}', '{""2016"": 2117741}', '{""2017"": 116327}']","['{""2000"": 92292.9949302915}', '{""2001"": 91483.22880371661}', '{""2002"": 86503.84222737819}', '{""2003"": 88860.47826086957}', '{""2004"": 87163.04742684157}', '{""2005"": 89102.57060849598}', '{""2006"": 89107.42739443872}', '{""2007"": 90618.71979434448}', '{""2008"": 94179.46901709402}', '{""2009"": 94688.43855932204}', '{""2010"": 101602.17221135029}', '{""2011"": 106358.38264840182}', '{""2012"": 101620.75113122172}', '{""2013"": 99752.1971580817}', '{""2014"": 102357.99465240641}', '{""2015"": 99715.17995689655}', '{""2016"": 102303.26065891473}', '{""2017"": 79891.47368421052}']","['{""2000"": 72964}', '{""2001"": 73498}', '{""2002"": 71209}', '{""2003"": 69828}', '{""2004"": 71025}', '{""2005"": 73746}', '{""2006"": 73053}', '{""2007"": 74039}', '{""2008"": 74759}', '{""2009"": 74353}', '{""2010"": 73932}', '{""2011"": 75580}', '{""2012"": 77843}', '{""2013"": 76450}', '{""2014"": 72858}', '{""2015"": 76321}', '{""2016"": 70001}', '{""2017"": 76912}']"
19,Anthony,Davidson,British,1979-04-18,"['{""2002"": 134310}', '{""2005"": 113323}', '{""2007"": 1261801}', '{""2008"": 130925}']","['{""2002"": 90229.50666666667}', '{""2005"": 107396.5}', '{""2007"": 94380.86358381502}', '{""2008"": 100209.98319327731}']","['{""2002"": 79347}', '{""2005"": 101470}', '{""2007"": 74066}', '{""2008"": 86864}']"
20,Sebastian,Vettel,German,1987-07-03,"['{""2007"": 158559}', '{""2008"": 184579}', '{""2009"": 180240}', '{""2010"": 2941672}', '{""2011"": 7505152}', '{""2012"": 3136891}', '{""2013"": 1518412}', '{""2014"": 3694951}', '{""2015"": 187834}', '{""2016"": 2117733}', '{""2017"": 1477892}', '{""2018"": 189319}', '{""2019"": 181412}', '{""2020"": 1591459}', '{""2021"": 2230588}', '{""2022"": 3199676}']","['{""2007"": 91580.57721518987}', '{""2008"": 92673.71481481481}', '{""2009"": 97292.35537190082}', '{""2010"": 101126.22910798123}', '{""2011"": 105831.39759036145}', '{""2012"": 101035.18932874355}', '{""2013"": 98646.62321428572}', '{""2014"": 105008.24074074074}', '{""2015"": 97092.95563442768}', '{""2016"": 102160.1816461684}', '{""2017"": 92791.0927456382}', '{""2018"": 92496.36538461539}', '{""2019"": 91593.83446519525}', '{""2020"": 96365.30196936542}', '{""2021"": 97751.5384006334}', '{""2022"": 99003.2570390554}']","['{""2007"": 73862}', '{""2008"": 74214}', '{""2009"": 73890}', '{""2010"": 74283}', '{""2011"": 76076}', '{""2012"": 75752}', '{""2013"": 75624}', '{""2014"": 74018}', '{""2015"": 71499}', '{""2016"": 71441}', '{""2017"": 67496}', '{""2018"": 67082}', '{""2019"": 67676}', '{""2020"": 56905}', '{""2021"": 68420}', '{""2022"": 70000}']"
21,Giancarlo,Fisichella,Italian,1973-01-14,"['{""1996"": 183566}', '{""1997"": 219044}', '{""1998"": 187647}', '{""1999"": 504090}', '{""2000"": 294917}', '{""2001"": 194445}', '{""2002"": 344193}', '{""2003"": 187051}', '{""2004"": 208860}', '{""2005"": 189603}', '{""2006"": 174778}', '{""2007"": 1380553}', '{""2008"": 181041}', '{""2009"": 204315}']","['{""1996"": 92036.23828125}', '{""1997"": 92343.71210340776}', '{""1998"": 91956.95976331361}', '{""1999"": 93911.8958068615}', '{""2000"": 91488.97973778307}', '{""2001"": 91424.3024691358}', '{""2002"": 87904.7756232687}', '{""2003"": 88236.96808510639}', '{""2004"": 87883.49903100776}', '{""2005"": 86971.94456762749}', '{""2006"": 87417.86939942803}', '{""2007"": 92122.83171521036}', '{""2008"": 94727.22962962963}', '{""2009"": 96861.62243797195}']","['{""1996"": 83448}', '{""1997"": 72375}', '{""1998"": 74044}', '{""1999"": 73579}', '{""2000"": 76002}', '{""2001"": 75457}', '{""2002"": 71284}', '{""2003"": 71019}', '{""2004"": 71877}', '{""2005"": 73190}', '{""2006"": 73121}', '{""2007"": 74009}', '{""2008"": 75212}', '{""2009"": 74931}']"
22,Rubens,Barrichello,Brazilian,1972-05-23,"['{""1996"": 309896}', '{""1997"": 228665}', '{""1998"": 134781}', '{""1999"": 282892}', '{""2000"": 215849}', '{""2001"": 257968}', '{""2002"": 131324}', '{""2003"": 162889}', '{""2004"": 268716}', '{""2005"": 200765}', '{""2006"": 154258}', '{""2007"": 1384872}', '{""2008"": 178866}', '{""2009"": 179192}', '{""2010"": 2937417}', '{""2011"": 7496893}']","['{""1996"": 95299.00255102041}', '{""1997"": 92675.77326565144}', '{""1998"": 90475.41379310345}', '{""1999"": 93355.43529411765}', '{""2000"": 90212.51970181044}', '{""2001"": 88544.70905172414}', '{""2002"": 86347.26642335767}', '{""2003"": 86642.89960886571}', '{""2004"": 86262.47696476965}', '{""2005"": 87989.51871657754}', '{""2006"": 89990.43930041153}', '{""2007"": 94321.41561181434}', '{""2008"": 92909.05673758865}', '{""2009"": 95878.42272262026}', '{""2010"": 101856.1504854369}', '{""2011"": 108803.16116504854}']","['{""1996"": 80134}', '{""1997"": 72535}', '{""1998"": 76822}', '{""1999"": 73278}', '{""2000"": 71887}', '{""2001"": 71009}', '{""2002"": 69320}', '{""2003"": 68913}', '{""2004"": 70399}', '{""2005"": 71649}', '{""2006"": 73391}', '{""2007"": 74742}', '{""2008"": 75414}', '{""2009"": 73950}', '{""2010"": 75227}', '{""2011"": 76684}']"
23,Ralf,Schumacher,German,1975-06-30,"['{""1997"": 241198}', '{""1998"": 213452}', '{""1999"": 154148}', '{""2000"": 564047}', '{""2001"": 379267}', '{""2002"": 187383}', '{""2003"": 160854}', '{""2004"": 149153}', '{""2005"": 198939}', '{""2006"": 170349}', '{""2007"": 1331543}']","['{""1997"": 90740.42037302726}', '{""1998"": 94087.45684523809}', '{""1999"": 93753.16304347826}', '{""2000"": 92069.87842278204}', '{""2001"": 89434.18610421836}', '{""2002"": 85813.73689619733}', '{""2003"": 87449.22274881517}', '{""2004"": 86180.19170984456}', '{""2005"": 88650.09200743494}', '{""2006"": 90445.93603411513}', '{""2007"": 94468.37976190477}']","['{""1997"": 72862}', '{""1998"": 73972}', '{""1999"": 76173}', '{""2000"": 72811}', '{""2001"": 73888}', '{""2002"": 69862}', '{""2003"": 70246}', '{""2004"": 71764}', '{""2005"": 73724}', '{""2006"": 73225}', '{""2007"": 73368}']"
24,Vitantonio,Liuzzi,Italian,1980-08-06,"['{""2005"": 136070}', '{""2006"": 153898}', '{""2007"": 308436}', '{""2009"": 159529}', '{""2010"": 2936290}', '{""2011"": 7494873}']","['{""2005"": 87821.47619047618}', '{""2006"": 88301.6354056902}', '{""2007"": 93558.64355062414}', '{""2009"": 97892.41603053435}', '{""2010"": 99984.06610576923}', '{""2011"": 116068.5867768595}']","['{""2005"": 78030}', '{""2006"": 73687}', '{""2007"": 73643}', '{""2009"": 74990}', '{""2010"": 76142}', '{""2011"": 80648}']"
25,Alexander,Wurz,Austrian,1974-02-15,"['{""1997"": 148636}', '{""1998"": 165818}', '{""1999"": 154080}', '{""2000"": 223160}', '{""2005"": 106217}', '{""2007"": 1387675}']","['{""1997"": 85923.17532467532}', '{""1998"": 90085.72405660378}', '{""1999"": 93128.4306569343}', '{""2000"": 92895.55645161291}', '{""2005"": 85314.1129032258}', '{""2007"": 93507.68735362998}']","['{""1997"": 78684}', '{""1998"": 74040}', '{""1999"": 73654}', '{""2000"": 73317}', '{""2005"": 83023}', '{""2007"": 74486}']"
26,Scott,Speed,American,1983-01-24,"['{""2006"": 153107}', '{""2007"": 181900}']","['{""2006"": 90594.84963196635}', '{""2007"": 84963.26047904191}']","['{""2006"": 73862}', '{""2007"": 75092}']"
27,Christijan,Albers,Dutch,1979-04-16,"['{""2005"": 453082}', '{""2006"": 329766}', '{""2007"": 160378}']","['{""2005"": 93802.89539748954}', '{""2006"": 91511.54993983153}', '{""2007"": 86891.96068796069}']","['{""2005"": 73907}', '{""2006"": 74591}', '{""2007"": 75902}']"
28,Markus,Winkelhock,German,1980-06-13,"['{""2007"": 1437698}']","['{""2007"": 235988.6923076923}']","['{""2007"": 102783}']"
29,Sakon,Yamamoto,Japanese,1982-07-09,"['{""2006"": 297225}', '{""2007"": 173972}', '{""2010"": 2921062}']","['{""2006"": 96523.12676056338}', '{""2007"": 104201.35144927536}', '{""2010"": 116417.15805471124}']","['{""2006"": 73379}', '{""2007"": 85478}', '{""2010"": 83541}']"
30,Michael,Schumacher,German,1969-01-03,"['{""1996"": 199052}', '{""1997"": 217511}', '{""1998"": 330053}', '{""1999"": 161639}', '{""2000"": 212177}', '{""2001"": 257358}', '{""2002"": 165384}', '{""2003"": 160772}', '{""2004"": 208199}', '{""2005"": 1617815}', '{""2006"": 153702}', '{""2010"": 2938682}', '{""2011"": 7502081}', '{""2012"": 3133005}']","['{""1996"": 95949.9306518724}', '{""1997"": 91360.44736842105}', '{""1998"": 89620.69055374592}', '{""1999"": 92746.40699815837}', '{""2000"": 90186.31270358305}', '{""2001"": 87181.95721393035}', '{""2002"": 85868.17155963303}', '{""2003"": 85905.0466058764}', '{""2004"": 86407.14967860423}', '{""2005"": 87421.05649157582}', '{""2006"": 87202.96336996337}', '{""2010"": 101146.94525904203}', '{""2011"": 107858.26321467098}', '{""2012"": 103288.52691511388}']","['{""1996"": 80912}', '{""1997"": 72169}', '{""1998"": 73029}', '{""1999"": 78616}', '{""2000"": 74755}', '{""2001"": 71030}', '{""2002"": 69298}', '{""2003"": 68337}', '{""2004"": 70412}', '{""2005"": 71497}', '{""2006"": 72162}', '{""2010"": 75219}', '{""2011"": 76681}', '{""2012"": 78433}']"
31,Juan,Pablo Montoya,Colombian,1975-09-20,"['{""2001"": 224411}', '{""2002"": 166904}', '{""2003"": 335793}', '{""2004"": 214523}', '{""2005"": 229367}', '{""2006"": 230664}']","['{""2001"": 86230.30147058824}', '{""2002"": 86323.79494949494}', '{""2003"": 86244.72314507198}', '{""2004"": 86950.11617100371}', '{""2005"": 86875.16686819831}', '{""2006"": 91350.2902494331}']","['{""2001"": 71140}', '{""2002"": 69853}', '{""2003"": 70112}', '{""2004"": 71255}', '{""2005"": 72650}', '{""2006"": 76008}']"
32,Christian,Klien,Austrian,1983-02-07,"['{""2004"": 211782}', '{""2005"": 206801}', '{""2006"": 676839}', '{""2010"": 372691}']","['{""2004"": 88868.33747178329}', '{""2005"": 91343.46957878314}', '{""2006"": 88447.14351145038}', '{""2010"": 103988.32214765101}']","['{""2004"": 72891}', '{""2005"": 73800}', '{""2006"": 77576}', '{""2010"": 77690}']"
33,Tiago,Monteiro,Portuguese,1976-07-24,"['{""2005"": 199290}', '{""2006"": 250136}']","['{""2005"": 90929.688}', '{""2006"": 92223.24575311439}']","['{""2005"": 73237}', '{""2006"": 74410}']"
34,Yuji,Ide,Japanese,1975-01-21,"['{""2006"": 809130}']","['{""2006"": 114121.78620689655}']","['{""2006"": 91032}']"
35,Jacques,Villeneuve,Canadian,1971-04-09,"['{""1996"": 198311}', '{""1997"": 215511}', '{""1998"": 546038}', '{""1999"": 142665}', '{""2000"": 214308}', '{""2001"": 160182}', '{""2002"": 236214}', '{""2003"": 166867}', '{""2004"": 119930}', '{""2005"": 199447}', '{""2006"": 153474}']","['{""1996"": 93971.151547492}', '{""1997"": 89441.46697566628}', '{""1998"": 91137.58359957402}', '{""1999"": 93218.17626527051}', '{""2000"": 92201.73666666666}', '{""2001"": 87593.8075949367}', '{""2002"": 89287.15491183879}', '{""2003"": 87074.0241691843}', '{""2004"": 88736.73446327684}', '{""2005"": 89620.4830590513}', '{""2006"": 87977.64705882352}']","['{""1996"": 78610}', '{""1997"": 71814}', '{""1998"": 73730}', '{""1999"": 73977}', '{""2000"": 72630}', '{""2001"": 71718}', '{""2002"": 70823}', '{""2003"": 69764}', '{""2004"": 72210}', '{""2005"": 74054}', '{""2006"": 73934}']"
36,Franck,Montagny,French,1978-01-05,"['{""2006"": 152077}']","['{""2006"": 87851.8125}']","['{""2006"": 79104}']"
