driver_nationality,age_at_first_race,driver_first_place_count,driver_second_place_count,driver_third_place_count,driver_top_5_place_count,constructorName,constructor_nationality,constructor_first_place_count,constructor_second_place_count,constructor_third_place_count,constructor_top_5_place_count,best_performing_circuit_name,min_lap_time_diff,avg_lap_time_diff,max_lap_time_diff,median_lap_position,min_pit_stop_time,avg_pit_time,max_pit_stop_time,most_common_pitstop_lap,most_common_starting_position,most_common_ending_position
Austrian,twenty-five,zero,zero,six,six,Benetton,Italian,two,three,fourteen,twenty-five,Autódromo José Carlos Pace,Unknown,Unknown,Unknown,one,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
British,twenty-seven,three,three,six,six,McLaren,British,nineteen,thirteen,seventeen,fifty-eight,Autodromo Enzo e Dino Ferrari,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Brazilian,twenty-four,two,two,nine,nine,Williams,British,twenty-one,six,two,thirty-eight,Autodromo Enzo e Dino Ferrari,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Italian,twenty-five,one,one,three,three,Minardi,Italian,zero,zero,zero,zero,Phoenix street circuit,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
French,twenty-five,four,four,twelve,twelve,Williams,British,seventeen,six,two,thirty-four,Autódromo Internacional Nelson Piquet,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Italian,twenty-three,one,one,four,four,Benetton,Italian,zero,zero,nine,fifteen,Autodromo Enzo e Dino Ferrari,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Belgian,twenty-six,zero,zero,two,two,Jordan,Irish,zero,zero,zero,five,Adelaide Street Circuit,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Brazilian,twenty-six,one,one,seven,seven,Benetton,Italian,zero,zero,five,eleven,Circuit Gilles Villeneuve,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Swedish,twenty-four,zero,zero,one,one,Footwork,British,zero,zero,zero,zero,Circuit de Spa-Francorchamps,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
French,thirty,zero,zero,one,one,Ligier,French,zero,two,three,thirteen,Autódromo Internacional Nelson Piquet,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
French,thirty-one,zero,zero,three,three,Ligier,French,zero,two,three,thirteen,Red Bull Ring,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Italian,twenty-one,zero,zero,two,two,Brabham,British,zero,four,ten,forty-eight,Autodromo Nazionale di Monza,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
French,twenty-eight,zero,zero,one,one,Lola,British,zero,zero,zero,two,Autodromo Enzo e Dino Ferrari,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Finnish,thirty,zero,zero,three,three,McLaren,British,eleven,six,seventeen,thirty-six,Circuit de Monaco,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Australian,twenty-nine,zero,zero,three,three,Lola,British,zero,zero,zero,two,Long Beach,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Austrian,twenty-two,one,one,seven,seven,McLaren,British,eleven,four,seventeen,thirty-four,Kyalami,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
British,twenty-seven,one,one,one,one,McLaren,British,eleven,four,seventeen,thirty-four,Autódromo Juan y Oscar Gálvez,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Argentine,thirty,one,one,five,five,Williams,British,eight,two,zero,fourteen,Autódromo Internacional Nelson Piquet,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
French,twenty-six,one,one,two,two,Ferrari,Italian,twenty-three,twenty-five,nine,ninety,Circuit de Monaco,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Canadian,twenty-seven,one,one,one,one,Ferrari,Italian,twenty-three,twenty-five,nine,ninety,Circuit de Monaco,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
American,twenty-eight,zero,zero,two,two,Williams,British,eight,two,zero,fourteen,Kyalami,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
French,twenty-eight,zero,zero,two,two,Alfa Romeo,Swiss,zero,zero,zero,zero,Autódromo José Carlos Pace,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
South African,twenty-two,one,one,four,four,Ferrari,Italian,twenty,twenty-five,nine,eighty-five,Kyalami,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Swiss,thirty-one,one,one,five,five,Ensign,British,zero,zero,zero,zero,Autodromo Nazionale di Monza,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Brazilian,twenty-four,two,two,four,four,Fittipaldi,Brazilian,zero,zero,zero,zero,Autódromo Juan y Oscar Gálvez,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
British,twenty-six,zero,zero,three,three,Wolf,Canadian,zero,zero,zero,three,Autódromo Juan y Oscar Gálvez,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Belgian,twenty-two,two,two,five,five,Ligier,French,zero,zero,three,four,Nürburgring,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Swedish,twenty-six,two,two,four,four,Team Lotus,British,twenty,twelve,zero,forty-eight,Circuit de Monaco,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
New Zealander,twenty,zero,zero,one,one,Ensign,British,zero,zero,zero,zero,Charade Circuit,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
British,twenty-nine,three,three,six,six,Lola,British,zero,zero,zero,two,Circuit de Monaco,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
New Zealander,twenty-nine,zero,zero,five,five,McLaren,British,six,zero,eight,fourteen,Circuit de Monaco,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
French,thirty,zero,zero,one,one,BRM,British,six,twenty-two,five,fifty-eight,Circuit de Monaco,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
American,twenty-five,zero,zero,two,two,Shadow,British,zero,zero,zero,zero,Autódromo Juan y Oscar Gálvez,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
French,twenty-six,zero,zero,two,two,Tyrrell,British,three,seven,zero,ten,Autodromo Nazionale di Monza,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
British,twenty-six,two,two,seven,seven,Tyrrell,British,three,seven,zero,ten,Kyalami,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
British,twenty-six,one,one,six,six,Surtees,British,zero,zero,zero,six,Autodromo Nazionale di Monza,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Swiss,twenty-six,zero,zero,one,one,BRM,British,six,twenty-two,five,fifty-eight,Watkins Glen,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Australian,twenty-nine,one,one,five,five,Brabham,British,zero,zero,three,eight,Circuit de Monaco,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Austrian,twenty-two,zero,zero,three,three,Team Lotus,British,nine,ten,zero,twenty-six,Circuit de Spa-Francorchamps,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
New Zealander,twenty-one,one,one,four,four,McLaren-Ford,British,zero,one,zero,eleven,Circuit de Spa-Francorchamps,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
American,twenty-eight,zero,zero,four,four,McLaren-Ford,British,zero,one,zero,eleven,Reims-Gueux,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
British,twenty-four,one,one,five,five,Lotus-Ford,British,six,two,zero,eight,Circuit Park Zandvoort,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Italian,twenty-six,zero,zero,one,one,Ferrari,Italian,eleven,eighteen,six,fifty-five,Circuit de Monaco,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
American,thirty,one,one,three,three,Eagle-Climax,American,zero,zero,zero,zero,Circuit de Monaco,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
American,thirty-one,zero,zero,three,three,Eagle-Climax,American,zero,zero,zero,zero,Autodromo Nazionale di Monza,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
British,twenty-nine,zero,zero,one,one,BRM,British,six,fifteen,five,forty-one,Circuit Park Zandvoort,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
French,thirty-three,zero,zero,three,three,BRM,British,six,nine,five,thirty,Circuit de Monaco,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
British,thirty,zero,zero,one,one,Lola,British,zero,zero,zero,two,Aintree,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
British,twenty-two,four,four,seven,seven,Ferguson,British,zero,zero,zero,zero,Circuit Bremgarten,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
German,twenty-eight,one,one,one,one,Ferrari,Italian,seven,thirteen,six,twenty-six,Autodromo Nazionale di Monza,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Top 5,Beyond Top 10
British,twenty-four,one,one,three,three,BRM,British,zero,zero,five,fifteen,Circuit de Monaco,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Argentine,twenty-eight,one,one,two,two,Ferrari,Italian,zero,thirteen,six,nineteen,Autódromo Juan y Oscar Gálvez,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
American,twenty-nine,zero,zero,one,one,Cooper-Climax,British,twenty-eight,zero,zero,twenty-eight,Autódromo Juan y Oscar Gálvez,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
French,thirty-one,zero,zero,one,one,Ferrari,Italian,zero,thirteen,zero,thirteen,Autódromo Juan y Oscar Gálvez,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
American,twenty-four,zero,zero,one,one,Watson,American,zero,zero,zero,zero,Indianapolis Motor Speedway,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Italian,twenty-nine,zero,zero,one,one,Ferrari,Italian,zero,six,zero,six,Autódromo Juan y Oscar Gálvez,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Top 10
British,twenty-three,zero,zero,five,five,Ferrari,Italian,zero,six,zero,six,Reims-Gueux,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Argentine,thirty-nine,two,two,seven,seven,Maserati,Italian,zero,zero,zero,sixteen,Autódromo Juan y Oscar Gálvez,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
British,twenty-one,zero,zero,two,two,Ferrari,Italian,zero,six,zero,six,Silverstone Circuit,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Italian,twenty-five,zero,zero,one,one,Ferrari,Italian,zero,zero,zero,zero,Autódromo Juan y Oscar Gálvez,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Top 10,Top 5
French,forty-five,zero,zero,one,one,Maserati,Italian,zero,zero,zero,zero,Circuit Bremgarten,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Italian,forty-one,zero,zero,two,two,Maserati,Italian,zero,zero,zero,zero,Circuit de Monaco,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Italian,forty-four,zero,zero,one,one,Vanwall,British,zero,zero,zero,zero,Autodromo Nazionale di Monza,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Italian,forty-four,one,one,five,five,Ferrari,Italian,zero,zero,zero,zero,Circuit de Spa-Francorchamps,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Italian,thirty-two,one,one,four,four,Lancia,Italian,zero,zero,zero,zero,Autódromo Juan y Oscar Gálvez,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
German,forty-four,zero,zero,one,one,Mercedes,German,zero,zero,zero,zero,Aintree,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Swiss,thirty-nine,zero,zero,one,one,Ferrari,Italian,zero,zero,zero,zero,Circuit Bremgarten,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Top 10
Italian,fifty-two,zero,zero,one,one,Alfa Romeo,Swiss,zero,zero,zero,zero,Reims-Gueux,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Top 5,Top 5
Mexican,twenty-one,zero,zero,three,three,Red Bull,Austrian,ten,nine,five,twenty-six,Baku City Circuit,0-25%,50% and more,50% and more,eight,0-25%,50% and more,50% and more,Mid-race Pitstop,Beyond Top 10,Beyond Top 10
Australian,twenty-two,zero,zero,four,four,McLaren,British,twenty-three,twenty-nine,thirty,one hundred and seven,Autodromo Nazionale di Monza,0-25%,50% and more,50% and more,nine,50% and more,50% and more,50% and more,Mid-race Pitstop,Beyond Top 10,Beyond Top 10
Finnish,twenty-four,two,two,seven,seven,Alfa Romeo,Swiss,zero,zero,zero,zero,Circuit Gilles Villeneuve,0-25%,50% and more,50% and more,six,50% and more,50% and more,50% and more,Mid-race Pitstop,Beyond Top 10,Beyond Top 10
Dutch,eighteen,zero,zero,six,six,Red Bull,Austrian,ten,nine,five,twenty-six,Red Bull Ring,0-25%,50% and more,25-50%,four,50% and more,50% and more,50% and more,Mid-race Pitstop,Beyond Top 10,Beyond Top 10
Spanish,twenty-one,zero,zero,two,two,Ferrari,Italian,forty,fifty-six,thirty-one,one hundred and seventy-five,Autodromo Nazionale di Monza,25-50%,50% and more,50% and more,eight,50% and more,50% and more,50% and more,Mid-race Pitstop,Beyond Top 10,Beyond Top 10
Monegasque,twenty-one,one,one,two,two,Ferrari,Italian,forty,fifty-six,thirty-one,one hundred and seventy-five,Bahrain International Circuit,0-25%,50% and more,50% and more,six,0-25%,50% and more,50% and more,Mid-race Pitstop,Beyond Top 10,Beyond Top 10
British,twenty-one,zero,zero,one,one,Mercedes,German,sixteen,two,two,twenty-six,Albert Park Grand Prix Circuit,0-25%,50% and more,50% and more,twelve,50% and more,50% and more,50% and more,Mid-race Pitstop,Beyond Top 10,Beyond Top 10
