driver_nationality,age_at_first_race,driver_first_place_count,driver_second_place_count,driver_third_place_count,driver_top_5_place_count,constructorName,constructor_nationality,constructor_first_place_count,constructor_second_place_count,constructor_third_place_count,constructor_top_5_place_count,best_performing_circuit_name,min_lap_time_diff,avg_lap_time_diff,max_lap_time_diff,median_lap_position,min_pit_stop_time,avg_pit_time,max_pit_stop_time,most_common_pitstop_lap,most_common_starting_position,most_common_ending_position
Brazilian,twenty-five,zero,zero,zero,zero,Jaguar,British,zero,zero,zero,zero,Albert Park Grand Prix Circuit,50% and more,25-50%,0-25%,twelve,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Brazilian,twenty,zero,zero,zero,zero,Minardi,Italian,zero,zero,zero,zero,Albert Park Grand Prix Circuit,50% and more,50% and more,25-50%,sixteen,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Brazilian,twenty-three,zero,zero,zero,zero,Arrows,British,zero,zero,zero,two,Albert Park Grand Prix Circuit,50% and more,25-50%,0-25%,fourteen,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Argentine,twenty-five,zero,zero,zero,zero,Prost,French,zero,zero,zero,zero,Albert Park Grand Prix Circuit,50% and more,50% and more,25-50%,fourteen,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Czech,twenty-five,zero,zero,zero,zero,Prost,French,zero,zero,zero,zero,Autodromo Nazionale di Monza,50% and more,0-25%,25-50%,sixteen,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Malaysian,twenty-five,zero,zero,zero,zero,Minardi,Italian,zero,zero,zero,zero,Albert Park Grand Prix Circuit,50% and more,50% and more,25-50%,eighteen,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Finnish,twenty-eight,zero,zero,zero,zero,Toyota,Japanese,zero,zero,zero,zero,Circuit de Monaco,50% and more,0-25%,50% and more,nine,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Brazilian,twenty-five,zero,zero,zero,zero,Sauber,Swiss,zero,zero,zero,zero,Albert Park Grand Prix Circuit,50% and more,25-50%,50% and more,ten,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
British,thirty-three,zero,zero,zero,zero,Toyota,Japanese,zero,zero,zero,zero,Albert Park Grand Prix Circuit,50% and more,25-50%,50% and more,thirteen,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Swiss,twenty-one,zero,zero,zero,zero,Toro Rosso,Italian,zero,zero,zero,zero,Albert Park Grand Prix Circuit,0-25%,50% and more,50% and more,thirteen,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Japanese,twenty-four,zero,zero,zero,zero,Arrows,British,zero,zero,zero,two,Albert Park Grand Prix Circuit,50% and more,25-50%,0-25%,sixteen,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Italian,twenty-two,zero,zero,zero,zero,Ferrari,Italian,forty,forty-four,twenty-one,one hundred and fifty-one,Albert Park Grand Prix Circuit,50% and more,50% and more,0-25%,nine,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Italian,twenty-five,zero,zero,zero,zero,Williams,British,twenty-five,eight,four,forty-eight,Circuit de Barcelona-Catalunya,Unknown,Unknown,Unknown,three,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Brazilian,twenty-eight,zero,zero,zero,zero,Tyrrell,British,three,seven,nine,thirty-seven,Albert Park Grand Prix Circuit,50% and more,25-50%,0-25%,fourteen,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Argentine,twenty,zero,zero,zero,zero,Minardi,Italian,zero,zero,zero,zero,Albert Park Grand Prix Circuit,50% and more,50% and more,50% and more,seventeen,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Japanese,twenty-six,zero,zero,zero,zero,Minardi,Italian,zero,zero,zero,zero,Albert Park Grand Prix Circuit,50% and more,0-25%,25-50%,fourteen,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Danish,twenty-two,zero,zero,zero,zero,Stewart,British,zero,zero,zero,zero,Albert Park Grand Prix Circuit,50% and more,25-50%,0-25%,eight,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Italian,twenty-three,zero,zero,zero,zero,Sauber,Swiss,zero,zero,zero,zero,Autódromo Internacional Nelson Piquet,Unknown,Unknown,Unknown,two,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Japanese,twenty-nine,zero,zero,zero,zero,Minardi,Italian,zero,zero,zero,zero,Albert Park Grand Prix Circuit,Unknown,Unknown,Unknown,five,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Italian,twenty-two,zero,zero,zero,zero,Sauber,Swiss,zero,zero,zero,zero,Adelaide Street Circuit,Unknown,Unknown,Unknown,two,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Argentine,twenty-two,zero,zero,zero,zero,Sauber,Swiss,zero,zero,zero,zero,Circuit de Nevers Magny-Cours,50% and more,25-50%,0-25%,sixteen,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Portuguese,twenty-one,zero,zero,zero,zero,Minardi,Italian,zero,zero,zero,zero,Adelaide Street Circuit,Unknown,Unknown,Unknown,four,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
British,twenty-five,zero,zero,zero,zero,Jordan,Irish,zero,zero,zero,ten,Autodromo Enzo e Dino Ferrari,Unknown,Unknown,Unknown,one,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Italian,thirty,zero,zero,zero,zero,Forti,Italian,zero,zero,zero,zero,Albert Park Grand Prix Circuit,Unknown,Unknown,Unknown,six,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Italian,thirty-seven,zero,zero,zero,zero,Minardi,Italian,zero,zero,zero,zero,Hockenheimring,50% and more,50% and more,0-25%,sixteen,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
British,twenty-five,zero,zero,zero,zero,McLaren,British,nineteen,thirteen,seventeen,fifty-eight,Autodromo Nazionale di Monza,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Japanese,twenty-eight,zero,zero,zero,zero,Ligier,French,zero,two,three,eighteen,Kyalami,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Japanese,thirty-one,zero,zero,zero,zero,Footwork,British,zero,zero,zero,zero,Autódromo José Carlos Pace,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Brazilian,twenty-three,zero,zero,zero,zero,Forti,Italian,zero,zero,zero,zero,Adelaide Street Circuit,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Austrian,twenty-three,zero,zero,zero,zero,Sauber,Swiss,zero,zero,zero,zero,Autodromo Enzo e Dino Ferrari,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Belgian,twenty-seven,zero,zero,zero,zero,Pacific,British,zero,zero,zero,zero,Autódromo José Carlos Pace,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Italian,twenty-seven,zero,zero,zero,zero,Simtek,British,zero,zero,zero,zero,Autódromo José Carlos Pace,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Italian,twenty-three,zero,zero,zero,zero,Minardi,Italian,zero,zero,zero,zero,Circuit de Barcelona-Catalunya,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
French,twenty-six,zero,zero,zero,zero,Sauber,Swiss,zero,zero,zero,zero,Hockenheimring,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Italian,twenty-six,zero,zero,zero,zero,Footwork,British,zero,zero,zero,zero,Silverstone Circuit,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Swiss,thirty-one,zero,zero,zero,zero,Pacific,British,zero,zero,zero,zero,Adelaide Street Circuit,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Italian,twenty-five,zero,zero,zero,zero,Tyrrell,British,three,seven,nine,thirty-seven,Phoenix street circuit,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
French,twenty-eight,zero,zero,zero,zero,Larrousse,French,zero,zero,zero,zero,Autodromo Nazionale di Monza,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Australian,twenty-five,zero,zero,zero,zero,Simtek,British,zero,zero,zero,zero,Autodromo Enzo e Dino Ferrari,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
French,twenty-five,zero,zero,zero,zero,Ligier,French,zero,two,three,fifteen,Autódromo Hermanos Rodríguez,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Brazilian,twenty-one,zero,zero,zero,zero,Footwork,British,zero,zero,zero,zero,Kyalami,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Monegasque,twenty-five,zero,zero,zero,zero,Larrousse,French,zero,zero,zero,zero,Autódromo José Carlos Pace,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Austrian,thirty-four,zero,zero,zero,zero,Simtek,British,zero,zero,zero,zero,Autódromo José Carlos Pace,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
French,twenty-nine,zero,zero,zero,zero,Pacific,British,zero,zero,zero,zero,Autódromo José Carlos Pace,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Finnish,twenty-three,zero,zero,zero,zero,Sauber,Swiss,zero,zero,zero,zero,Autodromo Enzo e Dino Ferrari,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Italian,twenty-one,zero,zero,zero,zero,Sauber,Swiss,zero,zero,zero,zero,Circuit Gilles Villeneuve,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
French,thirty,zero,zero,zero,zero,Simtek,British,zero,zero,zero,zero,Circuit de Nevers Magny-Cours,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
French,thirty,zero,zero,zero,zero,McLaren,British,nineteen,thirteen,seventeen,fifty-four,Autódromo Internacional Nelson Piquet,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Belgian,twenty-five,zero,zero,zero,zero,Team Lotus,British,twenty,twelve,eight,sixty-six,Circuit de Spa-Francorchamps,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
French,twenty-six,zero,zero,zero,zero,Larrousse,French,zero,zero,zero,zero,Autódromo Internacional Nelson Piquet,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Japanese,twenty-five,zero,zero,zero,zero,Larrousse,French,zero,zero,zero,zero,Circuito de Jerez,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
French,twenty-six,zero,zero,zero,zero,Ligier,French,zero,two,three,fifteen,Suzuka Circuit,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
British,twenty-seven,zero,zero,zero,zero,Footwork,British,zero,zero,zero,zero,Autódromo Internacional Nelson Piquet,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Italian,twenty-eight,zero,zero,zero,zero,Minardi,Italian,zero,zero,zero,zero,Autodromo Enzo e Dino Ferrari,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
American,thirty-one,zero,zero,zero,zero,McLaren,British,nineteen,thirteen,seventeen,fifty-one,Autodromo Nazionale di Monza,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Italian,twenty-two,zero,zero,zero,zero,Ferrari,Italian,twenty-five,thirty-four,fourteen,one hundred and thirteen,Adelaide Street Circuit,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Italian,twenty-four,zero,zero,zero,zero,March,British,zero,zero,seven,fourteen,Circuit de Spa-Francorchamps,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Japanese,thirty-eight,zero,zero,zero,zero,Larrousse,French,zero,zero,zero,zero,Suzuka Circuit,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Brazilian,twenty-five,zero,zero,zero,zero,Jordan,Irish,zero,zero,zero,five,Autódromo Internacional Nelson Piquet,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Belgian,thirty,zero,zero,zero,zero,Brabham,British,zero,four,ten,forty-eight,Kyalami,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
French,thirty-one,zero,zero,zero,zero,Tyrrell,British,three,seven,nine,thirty-seven,Phoenix street circuit,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Italian,twenty-four,zero,zero,zero,zero,Jordan,Irish,zero,zero,zero,five,Adelaide Street Circuit,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Italian,twenty-two,zero,zero,zero,zero,Footwork,British,zero,zero,zero,zero,Autódromo Internacional Nelson Piquet,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Italian,twenty-five,zero,zero,zero,zero,Coloni,Italian,zero,zero,zero,zero,Circuit de Spa-Francorchamps,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Dutch,twenty-three,zero,zero,zero,zero,March,British,zero,zero,seven,fourteen,Autódromo Juan y Oscar Gálvez,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Japanese,thirty-four,zero,zero,zero,zero,Tyrrell,British,three,seven,nine,thirty-seven,Phoenix street circuit,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Italian,twenty-seven,zero,zero,zero,zero,Dallara,Italian,zero,zero,zero,zero,Adelaide Street Circuit,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
British,twenty-seven,zero,zero,zero,zero,Team Lotus,British,twenty,twelve,eight,sixty-four,Autodromo Enzo e Dino Ferrari,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Portuguese,twenty-six,zero,zero,zero,zero,Coloni,Italian,zero,zero,zero,zero,Phoenix street circuit,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
German,twenty-three,zero,zero,zero,zero,Team Lotus,British,twenty,twelve,eight,sixty-four,Hockenheimring,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Japanese,twenty-five,zero,zero,zero,zero,Coloni,Italian,zero,zero,zero,zero,Suzuka Circuit,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Italian,twenty-seven,zero,zero,zero,zero,Benetton,Italian,zero,zero,five,ten,Autódromo Internacional Nelson Piquet,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
German,twenty-four,zero,zero,zero,zero,Arrows,British,zero,zero,zero,two,Autódromo Internacional Nelson Piquet,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Italian,twenty-eight,zero,zero,zero,zero,Minardi,Italian,zero,zero,zero,zero,Phoenix street circuit,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Swiss,twenty-four,zero,zero,zero,zero,Brabham,British,zero,four,ten,forty-eight,Autódromo Internacional Nelson Piquet,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Italian,thirty,zero,zero,zero,zero,Euro Brun,Italian,zero,zero,zero,zero,Phoenix street circuit,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Australian,twenty-nine,zero,zero,zero,zero,Life,Italian,zero,zero,zero,zero,Phoenix street circuit,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
British,twenty-five,zero,zero,zero,zero,Team Lotus,British,twenty,twelve,eight,sixty-four,Circuit Paul Ricard,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Italian,twenty-five,zero,zero,zero,zero,Life,Italian,zero,zero,zero,zero,Zolder,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Spanish,nineteen,zero,zero,zero,zero,Toro Rosso,Italian,zero,zero,zero,zero,Autodromo Nazionale di Monza,25-50%,50% and more,50% and more,fourteen,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
French,twenty-three,zero,zero,zero,zero,Haas F1 Team,American,zero,zero,zero,two,Red Bull Ring,50% and more,50% and more,50% and more,twelve,50% and more,25-50%,50% and more,Early Pitstop,Beyond Top 10,Beyond Top 10
